factor(sex)M factor(twin)1 age_std age2_std
-0.4979565 -0.4602878 1.816136 -1.773432
-0.2882443 -0.7011518 2.050425 -1.832224
-0.3844164 -0.6665312 1.991981 -1.788705
-0.4070726 -0.7364311 1.947526 -1.8316
-0.518951 -0.7186937 2.114885 -1.913357
-0.4543542 -0.9169638 2.197734 -2.010093
-0.2654335 -0.836335 2.316778 -2.003094
-0.4746479 -0.8024453 2.220639 -1.965376
-0.4943347 -0.4993853 2.218552 -1.948559
-0.4136173 -0.7213024 2.052437 -1.827414
-0.3669403 -0.6928121 1.982044 -1.780515
-0.2390923 -0.676751 2.091099 -1.901752
-0.2863941 -0.9528104 2.294412 -2.117459
-0.3967762 -0.5879776 2.252607 -2.074091
-0.4321091 -0.7222186 2.134851 -1.951562
-0.5294314 -0.6760513 2.067005 -1.962552
